,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
1,Byron Bay,AU,71.49,overcast clouds,-28.65,153.6167,Backpackers Inn on the Beach
2,Mozarlandia,BR,77.25,overcast clouds,-14.7447,-50.5706,Hotel Santa Mônica
3,Tapiramuta,BR,79.14,broken clouds,-11.8472,-40.7914,Casa Alencar
8,Rikitea,PF,72.36,clear sky,-23.1203,-134.9692,People ThankYou
9,Hermanus,ZA,72.9,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
15,Alofi,NU,76.89,clear sky,-19.0595,-169.9187,Taloa Heights
16,Awjilah,LY,78.28,clear sky,29.1081,21.2869,
18,Arraial Do Cabo,BR,75.16,light intensity drizzle,-22.9661,-42.0278,Pousada Porto Praia
20,Inhambane,MZ,80.58,broken clouds,-23.865,35.3833,Oceano
21,Capinopolis,BR,79.32,overcast clouds,-18.6819,-49.5697,Tropical Hotel
24,Georgetown,MY,84.15,moderate rain,5.4112,100.3354,Cititel Penang
27,Kapaa,US,73.72,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
31,Grand Gaube,MU,81.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
33,Faanui,PF,80.01,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
37,Santiago,CL,71.85,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
42,San Carlos Park,US,73.04,light rain,26.4673,-81.8015,Embassy Suites by Hilton Fort Myers Estero
46,Chirongui,YT,82.33,few clouds,-12.9319,45.1483,La Villa Mahatsara
48,Cabo San Lucas,MX,72.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
55,Chulucanas,PE,74.1,broken clouds,-5.0925,-80.1625,El Diamante
60,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
63,Victoria,HK,76.21,clear sky,22.2855,114.1577,Mini Hotel Central
64,Mahebourg,MU,80.89,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
65,Omboue,GA,82.53,light rain,-1.5746,9.2618,Hotel Olako
68,Tshikapa,CD,87.17,broken clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
71,Atuona,PF,77.27,clear sky,-9.8,-139.0333,Villa Enata
73,Kununurra,AU,84.18,clear sky,-15.7667,128.7333,Hotel Kununurra
77,Cayenne,GF,86.04,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
78,Tual,ID,83.52,broken clouds,-5.6667,132.75,Grand Vilia Hotel
80,Hithadhoo,MV,82.04,overcast clouds,-0.6,73.0833,Scoop Guest House
84,Banda Aceh,ID,79.88,overcast clouds,5.5577,95.3222,Sulthan Hotel International
90,Cape Town,ZA,73.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
93,Saint-Philippe,RE,81.99,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
99,Luganville,VU,78.91,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
100,Dingle,PH,76.69,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
105,Chuy,UY,72.64,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
109,Sal Rei,CV,77.18,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
116,Caluquembe,AO,78.21,light rain,-13.7833,14.6833,Hotel Kalukembe
117,Hilo,US,72.25,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
121,Cabedelo,BR,84.52,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
124,Los Algarrobos,PA,78.08,overcast clouds,8.5,-82.4333,Waterfall Hostel
126,Masvingo,ZW,76.89,broken clouds,-20.0637,30.8277,River Side Lodge
127,Rio Grande,BR,72.95,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
128,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
130,Namatanai,PG,78.85,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
132,Bengkulu,ID,76.39,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
138,Quang Ngai,VN,74.37,broken clouds,15.1167,108.8,Central Hotel
140,Mana,GF,83.1,scattered clouds,5.6592,-53.7767,LE SAMANA
141,Luba,GQ,82.18,light rain,3.4568,8.5547,
145,Neiafu,TO,78.35,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
147,Wiang Sa,TH,76.55,broken clouds,8.6359,99.3666,ชำนาญอินน์
151,Kahului,US,77.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
152,Rocha,UY,76.69,clear sky,-34.4833,-54.3333,Hotel Arrarte
159,Moree,AU,77.61,broken clouds,-29.4667,149.85,Molika Springs Motel
160,Mogadishu,SO,81.5,few clouds,2.0371,45.3438,Hotel Juba
161,Linhares,BR,85.41,scattered clouds,-19.3911,-40.0722,Hotel Conceição
163,Port Blair,IN,80.92,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
166,Manokwari,ID,79.9,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
168,Trincomalee,LK,80.71,overcast clouds,8.5711,81.2335,Welcombe Hotel
169,Kavaratti,IN,81.59,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
172,Kawalu,ID,72.07,light rain,-7.3817,108.2082,KOSAN UNGU UNSIK
178,Guia Lopes Da Laguna,BR,74.12,overcast clouds,-21.4578,-56.1142,Donna Lu
179,Souillac,MU,78.37,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
180,Odweyne,SO,79.47,few clouds,9.4092,45.064,Eng Hiirey House
184,General Pico,AR,73.26,clear sky,-35.6566,-63.7568,Euskadi Hotel
190,San Policarpo,PH,80.35,overcast clouds,12.1791,125.5072,Agapita M. Nicart
201,Vao,NC,71.8,light rain,-22.6667,167.4833,Hotel Kou-Bugny
203,Teahupoo,PF,71.56,broken clouds,-17.8333,-149.2667,Vanira Lodge
204,Ende,ID,79.11,broken clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
205,Sakakah,SA,71.02,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
206,Adeje,ES,70.9,few clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
207,Diamantina,BR,72.81,light rain,-18.2494,-43.6003,POUSADA OURO DE MINAS
209,Governador Valadares,BR,79.54,overcast clouds,-18.8511,-41.9494,Hotel Panorama
214,Calvinia,ZA,75.04,clear sky,-31.4707,19.776,Die Lemoenhuis
222,Emerald,AU,74.34,clear sky,-23.5333,148.1667,The Irish Village
224,Cockburn Town,TC,81.3,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
226,Santa Cruz,BO,78.85,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
227,Butaritari,KI,80.28,light rain,3.0707,172.7902,Isles Sunset Lodge
229,Alyangula,AU,82.04,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
230,Beloha,MG,84.15,broken clouds,-25.1667,45.05,
231,Caravelas,BR,85.19,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
235,Cairns,AU,74.1,shower rain,-16.9167,145.7667,Mantra Trilogy Cairns
236,Comodoro Rivadavia,AR,76.86,clear sky,-45.8667,-67.5,Austral Hotel
237,Salalah,OM,80.69,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
238,Bambous Virieux,MU,78.22,light rain,-20.3428,57.7575,Casa Tia Villa
241,Itambacuri,BR,82.6,broken clouds,-18.0311,-41.685,Pousada Bela
244,Bhanpuri,IN,78.73,overcast clouds,21.1,80.9167,Bholaram Verma
249,Taitung,TW,74.03,broken clouds,22.7583,121.1444,Taitung Bali Suites Hotel
255,Nishihara,JP,70.88,scattered clouds,26.1842,127.7558,Minshuku Agaihama
265,Alta Floresta,BR,80.11,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
267,Caruray,PH,79.92,few clouds,10.3094,119.0128,
269,Mathbaria,BD,70.83,broken clouds,22.2876,89.9593,Shikdar Hotel
273,Vila Velha,BR,76.41,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
275,Kavieng,PG,81.3,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
276,Mabaruma,GY,82.11,few clouds,8.2,-59.7833,Monty Brooms Guest House
282,Micheweni,TZ,84.4,few clouds,-4.9667,39.8333,
283,Camacupa,AO,81.91,broken clouds,-12.0167,17.4833,seviremde seni
284,Arawa,PG,74.66,light rain,-6.2132,155.5367,Coastline Guest House
287,Pangkalanbuun,ID,75.0,light rain,-2.6833,111.6167,Grand Kecubung Hotel
288,Bandarbeyla,SO,78.91,overcast clouds,9.4942,50.8122,JABIR HOTEL
290,Waingapu,ID,81.97,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
294,Manicore,BR,77.25,overcast clouds,-5.8092,-61.3003,Hotel Durval
295,Humaita,BR,80.13,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
297,Murindo,CO,78.01,overcast clouds,6.9848,-76.7544,
299,Boa Vista,BR,89.58,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
305,Sabang,ID,81.45,broken clouds,5.8933,95.3214,Hotel Citra
307,Lunavada,IN,74.79,scattered clouds,23.1333,73.6167,Arunoday Hotel & Guest House
311,Biak,ID,78.19,overcast clouds,-0.9131,122.8766,Penginapan Kim
317,San Pedro,PH,83.35,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
318,Tayu,ID,80.6,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
324,Kalawit,PH,78.85,few clouds,8.0667,122.5167,Ompoy Pension House
325,Codajas,BR,77.04,overcast clouds,-3.8367,-62.0569,Atlântic Hotel
327,Pimentel,PE,70.09,few clouds,-6.8367,-79.9342,Casona Del Muelle
328,Jalu,LY,78.08,clear sky,29.0331,21.5482,صاحبة الفخامة
330,Puerto Leguizamo,CO,84.63,scattered clouds,-0.1934,-74.7819,la casona de juancho
332,Moerai,PF,74.41,overcast clouds,-22.4333,-151.3333,Le Manotel
335,Kupang,ID,81.14,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
337,Acapulco,MX,76.82,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
339,Conceicao Do Araguaia,BR,89.6,broken clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
340,Marsh Harbour,BS,72.07,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
351,Mutis,CO,77.99,light rain,6.2262,-77.4044,Paraiso Escondido
353,Kokopo,PG,78.21,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
358,Sokoni,TZ,82.13,clear sky,-6.4333,39.55,Ujamaa Beach Resort
359,Honiara,SB,78.26,overcast clouds,-9.4333,159.95,Heritage Park Hotel
360,Hobyo,SO,81.03,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
362,Gudari,IN,75.2,overcast clouds,19.35,83.7833,Hotel maa majhigouri
365,Ponot,PH,79.0,scattered clouds,8.452,123.0222,Jose Dalman Municipal Building
367,Lamu,KE,84.42,few clouds,-2.2717,40.902,Lamu House
369,Tiarei,PF,77.02,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
370,Eyl,SO,80.28,overcast clouds,7.9803,49.8164,Amiin Hotel
371,Ponta Do Sol,PT,71.13,scattered clouds,32.6667,-17.1,Hotel do Campo
373,Mahbubabad,IN,74.79,overcast clouds,17.6167,80.0167,Vedansh Residency
375,Pochutla,MX,75.81,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
377,Firozpur Jhirka,IN,72.34,overcast clouds,27.8,76.95,MOHD MUBARIQUE J.E.
378,Pemangkat,ID,78.93,light rain,1.1667,108.9667,Ramah Kost KITA
379,Karratha,AU,80.96,clear sky,-20.7377,116.8463,ibis Styles Karratha
393,Sawtell,AU,70.18,overcast clouds,-30.3833,153.1,The Bungalow Sawtell
397,Loandjili,CG,82.69,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
400,Takoradi,GH,84.88,few clouds,4.8845,-1.7554,Raybow International Hotel
401,Kieta,PG,76.59,light rain,-6.2167,155.6333,Uruna Bay Retreat
402,Barmer,IN,73.35,clear sky,25.75,71.3833,OYO 71911 Hotel Amber Palace
403,Sao Filipe,CV,77.94,overcast clouds,14.8961,-24.4956,Hotel Xaguate
405,Reconquista,AR,77.77,clear sky,-29.15,-59.65,Grand Hotel
406,Mweka,CD,84.4,overcast clouds,-4.85,21.5667,Guest House Boshab
409,Gwadar,PK,77.16,clear sky,25.1216,62.3254,Sadaf Resort
412,Varzea Da Palma,BR,83.17,overcast clouds,-17.5981,-44.7308,Casa Fernandes
416,Kutum,SD,84.79,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
418,Carauari,BR,73.9,overcast clouds,-4.8828,-66.8958,Hotel Fellip
440,Gigmoto,PH,79.16,scattered clouds,13.7796,124.39,Cj's Travellers Inn
441,Labuhan,ID,82.27,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
449,Ponnani,IN,79.92,broken clouds,10.767,75.9252,Rouba Residency
456,General Jose Eduvigis Diaz,PY,82.06,clear sky,-27.1667,-58.4167,Hotel Tala Puera
458,Lucapa,AO,82.47,scattered clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
459,Meulaboh,ID,76.26,heavy intensity rain,4.1363,96.1285,Kost Pria
461,Moron,AR,80.29,clear sky,-34.6534,-58.6198,Hotel Morón
462,Malanje,AO,74.43,light rain,-9.5402,16.341,Malanje Hotel
465,Kudahuvadhoo,MV,82.98,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
467,Taoudenni,ML,86.27,overcast clouds,22.6783,-3.9836,
473,Sibolga,ID,77.72,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
474,Aitape,PG,78.51,light rain,-3.1374,142.3475,
476,Dhidhdhoo,MV,81.81,broken clouds,6.8833,73.1,Dhidhoo beach
479,Bocas Del Toro,PA,78.87,few clouds,9.3333,-82.25,Hotel Bocas del Toro
483,Mandla,IN,71.01,broken clouds,22.6,80.3833,Bison Resort
491,Nova Olimpia,BR,71.38,overcast clouds,-14.7972,-57.2881,Motel glamour
493,Pontianak,ID,76.98,heavy intensity rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
494,Makakilo City,US,74.28,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
495,Sarangani,PH,84.04,scattered clouds,5.4033,125.4636,Ballistic Islet
497,Lubango,AO,75.02,light rain,-14.9172,13.4925,Hotel Serra da Chela
499,Maragogi,BR,85.08,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
502,Harper,LR,85.3,scattered clouds,4.375,-7.7169,Screensaver
503,Maraa,BR,78.4,broken clouds,-1.8333,-65.3667,
507,Bambanglipuro,ID,76.91,moderate rain,-7.95,110.2833,Puri Brata
508,Inirida,CO,85.62,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
511,Tucuman,AR,80.42,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
514,Maumere,ID,82.17,overcast clouds,-8.6199,122.2111,Sylvia Hotel
515,Alugan,PH,79.68,overcast clouds,12.2188,125.4808,JM Lodge
517,Owando,CG,87.12,broken clouds,-0.4819,15.8999,Exaunel Hotel Owando
519,Soe,ID,71.62,overcast clouds,-9.8607,124.284,Dena Hotel
533,Bairiki,KI,80.6,light rain,1.3292,172.9752,Tarawa Boutique Hotel
536,Esmeralda,CU,81.64,overcast clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
540,Upata,VE,82.15,broken clouds,8.0086,-62.3989,Posada Villa Nela
545,Morondava,MG,83.1,overcast clouds,-20.2833,44.2833,La Case Bambou
547,Port-Gentil,GA,81.14,light rain,-0.7193,8.7815,Fengshui Residence
548,Luanda,AO,82.72,scattered clouds,-8.8368,13.2343,Hotel Fórum
550,Fuerte Olimpo,PY,77.58,overcast clouds,-21.0415,-57.8738,Hospedaje DAMI
556,Palauig,PH,81.05,broken clouds,15.435,119.9045,Alperi Botique Resort
557,Longonjo,AO,73.0,light rain,-12.9067,15.2533,
559,Tabuk,PH,74.01,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
561,Sur,OM,76.64,clear sky,22.5667,59.5289,Sur Plaza Hotel
562,Buala,SB,79.75,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
566,Nosy Varika,MG,79.63,clear sky,-20.5833,48.5333,Hotel Volazara
569,Bowen,AU,75.65,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
573,Sao Miguel Do Araguaia,BR,83.32,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
574,Barahona,DO,84.02,few clouds,18.2085,-71.1008,Hotel Caribe
575,Boueni,YT,82.38,few clouds,-12.9025,45.0761,The feet in water
577,Tecoanapa,MX,75.85,clear sky,16.5167,-98.75,Hotel Manglares
582,Poum,NC,77.23,clear sky,-20.2333,164.0167,Gîte kajeon
583,Kandrian,PG,76.82,light rain,-6.2167,149.55,Kandrian Station
584,Bubaque,GW,83.68,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
590,Gorontalo,ID,76.98,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
591,Mali,GN,80.96,few clouds,12.079,-12.2982,Hotel La Dame de Mali
593,Bonthe,SL,89.64,clear sky,7.5264,-12.505,Bonthe Holiday Village
594,Kambove,CD,82.69,overcast clouds,-10.8764,26.5969,Couvant des soeurs catholiques
601,Charagua,BO,73.02,overcast clouds,-19.8,-63.2167,Hotel
604,Key West,US,75.0,scattered clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
605,Wote,KE,78.85,overcast clouds,-1.7808,37.6288,Midways Hotel
608,Vanimo,PG,78.84,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
609,Tessalit,ML,87.62,broken clouds,20.1986,1.0114,
610,Lorengau,PG,81.82,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
612,Santa Maria,BR,72.45,clear sky,-29.6842,-53.8069,Hotel Morotin
613,Mucurapo,TT,81.01,broken clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
617,Ternate,ID,81.39,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
618,San Vicente,AR,75.83,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
623,Soyo,AO,83.28,scattered clouds,-6.1349,12.3689,Hotel Mpampa
624,Itarare,BR,73.13,overcast clouds,-24.1125,-49.3317,Hospedaria Frei Caneca
626,Colesberg,ZA,72.21,clear sky,-30.72,25.0972,Bhelekazi Guesthouse
627,Tikapur,NP,70.03,broken clouds,28.5,81.1333,BANANA AGRO RESORT
628,Fez,MA,75.45,scattered clouds,34.0372,-4.9998,Hotel Mounia Fès
629,Angoche,MZ,83.62,clear sky,-16.2325,39.9086,Guest House HESADA
630,Praya,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
631,Kirakira,SB,78.94,overcast clouds,-10.4544,161.9205,SanBiz Lodge
633,Port Hedland,AU,77.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
638,Heilbron,ZA,83.91,clear sky,-27.2812,27.9709,Guest house
640,Mecca,SA,85.75,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
642,Coahuayana,MX,71.22,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
649,Ambon,ID,82.56,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
651,Senanga,ZM,87.58,light rain,-16.1167,23.2667,Zango lodge
654,Sinnamary,GF,81.52,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
657,Puerto El Triunfo,SV,82.56,overcast clouds,13.2833,-88.55,Hotel Jardin
658,Pitimbu,BR,88.39,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
660,Gwanda,ZW,82.69,broken clouds,-20.9333,29.0,Mafax Homeways
662,Dong Hoi,VN,74.23,broken clouds,17.4833,106.6,Nam Long Hotel
664,Kasane,BW,80.69,thunderstorm,-17.8167,25.15,The Old House
665,Saint-Pierre,RE,82.08,clear sky,-21.3393,55.4781,Lindsey Hôtel
668,Tres Lagoas,BR,76.51,overcast clouds,-20.7511,-51.6783,Druds Express Hotel
671,Yulara,AU,73.24,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
673,Amuntai,ID,74.97,broken clouds,-2.4177,115.2494,Hotel Balqis
674,Posse,BR,81.88,overcast clouds,-14.0931,-46.3694,Pousada das Palmeiras
681,Kalmunai,LK,80.37,overcast clouds,7.4167,81.8167,VS Villa
683,Awbari,LY,86.14,broken clouds,26.5921,12.7805,فندق أوباري
690,Iquitos,PE,84.24,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
691,Sorong,ID,82.18,broken clouds,-0.8833,131.25,Waigo Splash Hotel
693,Presidencia Roque Saenz Pena,AR,80.22,clear sky,-26.7852,-60.4388,Hotel Aconcagua
694,Umm Lajj,SA,79.03,clear sky,25.0213,37.2685,Moon light Furnished Units
695,Manggar,ID,80.19,overcast clouds,-2.8833,108.2667,Guest Hotel
698,Nieuw Nickerie,SR,82.53,few clouds,5.95,-56.9833,Ishwardat Inn
702,Ikongo,MG,83.95,clear sky,-21.8833,47.4333,
704,Brisbane,AU,73.58,clear sky,-27.4679,153.0281,Royal On The Park Brisbane
